#ID	SMARTS	A1	A2	A3	A4	A5	A6
E1	[#6H3](-[*])	-0.104	-0.075	0.007	0	0.321	1
E2	[#6H2](-[*])(-[*])	0	0	0	0	0.499	1
E3	[#6H1](-[*])(-[*])(-[*])	0.089	0.036	0.011	0.02	0.449	1
E4	[#6](-[*])(-[*])(-[*])(-[*])	0.187	0.071	0.037	0.047	0.443	1
E5	[#6H2](=[*])	-0.045	-0.085	0.019	0.024	0.244	1
E6	[#6H1]=,:*	0.068	0.05	0.011	0.012	0.469	1
E7	[$([#6X3;H0]);!$(c(:*)(:*)(-,:[*;a]))]	0.18	0.101	0	0	0.624	1
E8	[$(c(:*)(:*)(-,:[*;a]))]	0.3	0.121	0.019	0.018	0.744	1
E9	[#6]#[*]	0.04	0.034	0.028	0.032	0.332	1
E10	[#7;A;H2X3][*;A]	0.085	0.175	0.481	0.486	0.781	1
E11	[#7;A;H2X3][*;a]	0.163	0.383	0.275	0.326	0.949	1
E12	[$([NX3;H1](-[*;A])(-[*;A]))]	0.138	0.265	0.541	0.543	0.568	1
E13	[NX3;H1][#6;a]	0.192	0.311	0.415	0.426	0.912	1
E14	[nX3;H1]	-0.03	0.221	0.316	0.267	1.25	1
E15	[#7X3;H0](-[*;A])(-[*;A])(-[*;A])	0.22	0.323	0.653	0.655	0.4	1
E16	[$([#7X3;H0;!n](-[*;a]));!$([NX3](=O)=O);!$([NX3+](=O)[O-])]	0.346	0.295	0.321	0.338	0.869	1
E17	[nX3;H0]	0.083	0.265	0.392	0.338	0.794	1
E18	[$([#7^2;R0]);!$([NX3](=O)=O);!$([NX3+](=O)[O-])]	0.117	0.125	0.2	0.202	-0.235	1
E19	[$([#7^2;R;!a]);!$([NX3](=O)=O);!$([NX3+](=O)[O-])]	0.121	0.254	0.596	0.589	-0.24	1
E20	[nX2;H0]	0.046	0.223	0.321	0.3	0.574	1
E21	[$([#7^1]~[*;A]~[*;A])]	0	0.694	0.242	0.245	0.757	2
E22	[$([#7^1]~[*;A]~[*;a])]	0	0.39	0.103	0.093	0.732	2
E23	[$([NX3](=O)=O),$([NX3+](=O)[O-])][C]	0.2	0	-0.476	-0.595	0.278	1
E24	[$([NX3](=O)=O),$([NX3+](=O)[O-])][c]	0.21	-0.231	-0.525	-0.533	0.347	1
E25	[#8](-[*])(-N(=O)=O)	0	-0.476	-0.204	-0.202	0	2
E26	[#8H1]-[*]	0.061	0.247	0.307	0.311	0.672	1
E27	[OX2;!H;R0]	0.014	0.185	0.211	0.226	0.36	1
E28	[OX2;!H;R]	0.013	0.185	0.331	0.33	0.359	1
E29	[oX2H0]	-0.125	0	0.047	0.06	0.057	1
E30	[$([#8]=[*]),$([O-]([NX3+](=O)))]	-0.041	0.37	0.334	0.339	0.495	1
E31	[SX2]	0.33	0.189	0.168	0.175	1.258	1
E32	[sX2]	0.116	0	0.043	0.083	0.848	1
E33	[SX1]	0.364	0.618	0.071	0.069	0.954	1
E34	[SX3]	0.413	1.065	0.448	0.319	2.196	1
E35	S(=[#8])(=[#8])(-[#8])	0	-0.505	-0.188	-0.19	0	2
E36	[#16;!$([SX2]);!$([sX2]);!$([SX1]);!$([SX3]);!$(S(=[#8])(=[#8])(-[#8])-[*])]	0.465	0.643	0	0	0.554	1
E37	P	0.295	0.703	1.183	1.189	2.051	1
E38	F[*;A]	-0.18	-0.042	-0.036	-0.033	-0.143	1
E39	F[*;a]	-0.23	0	0	0	-0.147	1
E40	Cl*	0.023	0.082	0	0	0.669	1
E41	Br*	0.196	0.161	-0.011	0	1.097	1
