Title	Class(80)
CHEMBL289356	1
CHEMBL111654	1
CHEMBL472940	1
CHEMBL286080	1
CHEMBL477197	1
CHEMBL3797437	1
CHEMBL353335	1
CHEMBL4303361	1
CHEMBL4303312	1
CHEMBL3545157	1
CHEMBL1160160	1
CHEMBL51628	1
CHEMBL4303240	1
CHEMBL8260	1
CHEMBL28	1
CHEMBL45152	1
CHEMBL51085	1
CHEMBL388676	1
CHEMBL3348861	1
CHEMBL4303595	1
CHEMBL66953	1
CHEMBL164	1
CHEMBL1271993	1
CHEMBL192627	1
CHEMBL297453	1
CHEMBL128251	1
CHEMBL1161936	1
CHEMBL2368547	1
CHEMBL1208422	1
CHEMBL275938	1
CHEMBL1201073	1
CHEMBL105712	1
CHEMBL243652	1
CHEMBL329522	1
CHEMBL3105836	1
CHEMBL3747259	1
CHEMBL324842	1
CHEMBL286738	1
CHEMBL4297188	1
CHEMBL119171	1
CHEMBL585	1
CHEMBL55400	1
CHEMBL1382627	1
CHEMBL449298	1
CHEMBL291143	1
CHEMBL1096979	1
CHEMBL221722	1
CHEMBL1414870	1
CHEMBL1449651	1
CHEMBL4303622	1
CHEMBL1200930	1
CHEMBL2107818	1
CHEMBL2354521	1
CHEMBL1509639	1
CHEMBL1503	1
CHEMBL2146133	1
CHEMBL4559134	1
CHEMBL1801204	1
CHEMBL1234354	1
CHEMBL1370630	1
CHEMBL16312	1
CHEMBL481049	1
CHEMBL311909	1
CHEMBL1380480	1
CHEMBL2023898	1
CHEMBL3963349	1
CHEMBL17329	1
CHEMBL3989870	1
CHEMBL1173055	1
CHEMBL3770443	1
CHEMBL284861	1
CHEMBL1271764	1
CHEMBL3665060	1
CHEMBL1517651	1
CHEMBL1256915	1
CHEMBL1738731	1
CHEMBL156592	1
CHEMBL1230122	1
CHEMBL1628564	1
CHEMBL1339149	1
CHEMBL488755	1
CHEMBL120563	1
CHEMBL571700	1
CHEMBL1516068	1
CHEMBL1256832	1
CHEMBL536282	1
CHEMBL1964991	1
CHEMBL1397952	1
CHEMBL331743	1
CHEMBL1886408	1
CHEMBL155103	1
CHEMBL566136	1
CHEMBL3894518	1
CHEMBL1422849	1
CHEMBL3769507	1
CHEMBL94841	1
CHEMBL188434	1
CHEMBL3545366	1
CHEMBL1713178	1
CHEMBL45827	1
CHEMBL1790039	1
CHEMBL964	1
CHEMBL1257128	1
CHEMBL8565	1
CHEMBL198997	1
CHEMBL4303661	1
CHEMBL4061483	1
CHEMBL481	1
CHEMBL538943	1
CHEMBL3414574	1
CHEMBL406050	1
CHEMBL1374426	1
CHEMBL1671898	1
CHEMBL60718	1
CHEMBL403183	1
CHEMBL1336959	1
CHEMBL1917204	1
CHEMBL1725120	1
CHEMBL1610810	1
CHEMBL1015	1
CHEMBL12208	1
CHEMBL480	1
CHEMBL178459	1
CHEMBL518800	1
CHEMBL65	1
CHEMBL3989759	1
CHEMBL582355	1
CHEMBL444186	1
CHEMBL52	1
CHEMBL596674	1
CHEMBL1096	1
CHEMBL270299	1
CHEMBL1530581	1
CHEMBL286120	1
CHEMBL1612112	1
CHEMBL154580	1
CHEMBL1555751	1
CHEMBL4303503	1
CHEMBL168067	1
CHEMBL1923234	1
CHEMBL4303331	1
CHEMBL444478	1
CHEMBL1201236	1
CHEMBL1188627	1
CHEMBL4303154	1
CHEMBL1201746	1
CHEMBL3392049	1
CHEMBL271023	1
CHEMBL131921	0
CHEMBL491174	0
CHEMBL1079227	0
CHEMBL346919	0
CHEMBL31	0
CHEMBL582878	0
CHEMBL207225	0
CHEMBL194014	0
CHEMBL459008	0
CHEMBL15841	0
CHEMBL39221	0
CHEMBL1009	0
CHEMBL325372	0
CHEMBL1885632	0
CHEMBL112687	0
CHEMBL701	0
CHEMBL1256351	0
CHEMBL3187798	0
CHEMBL470266	0
CHEMBL275628	0
CHEMBL8165	0
CHEMBL23507	0
CHEMBL507614	0
CHEMBL492591	0
CHEMBL125582	0
CHEMBL39	0
CHEMBL127516	0
CHEMBL1898387	0
CHEMBL2104260	0
CHEMBL145	0
CHEMBL1483877	0
CHEMBL2106646	0
CHEMBL8145	0
CHEMBL35482	0
CHEMBL244948	0
CHEMBL123904	0
CHEMBL252124	0
CHEMBL365617	0
CHEMBL273575	0
CHEMBL94394	0
CHEMBL139	0
CHEMBL1405973	0
CHEMBL18972	0
CHEMBL1564	0
CHEMBL173562	0
CHEMBL1479316	0
CHEMBL266540	0
CHEMBL278390	0
CHEMBL108660	0
CHEMBL140220	0
CHEMBL1394514	0
CHEMBL1923233	0
CHEMBL1515808	0
CHEMBL406861	0
CHEMBL1591074	0
CHEMBL1320667	0
CHEMBL94081	0
CHEMBL288114	0
CHEMBL925	0
CHEMBL541	0
CHEMBL379845	0
CHEMBL448399	0
CHEMBL6466	0
CHEMBL1200474	0
CHEMBL312607	0
CHEMBL348000	0
CHEMBL71685	0
CHEMBL2107572	0
CHEMBL269644	0
CHEMBL374632	0
CHEMBL3903492	0
CHEMBL1957037	0
CHEMBL24850	0
CHEMBL375596	0
CHEMBL1611192	0
CHEMBL216097	0
CHEMBL278703	0
CHEMBL1409793	0
CHEMBL1256391	0
CHEMBL281622	0
CHEMBL251254	0
CHEMBL596009	0
CHEMBL144399	0
CHEMBL310840	0
CHEMBL1326499	0
CHEMBL1256662	0
CHEMBL578211	0
CHEMBL1371156	0
CHEMBL1823681	0
CHEMBL279390	0
CHEMBL285718	0
CHEMBL2103996	0
CHEMBL6640	0
CHEMBL211769	0
CHEMBL1079604	0
CHEMBL1514276	0
CHEMBL104383	0
CHEMBL65892	0
CHEMBL279218	0
CHEMBL286615	0
CHEMBL90568	0
CHEMBL45245	0
CHEMBL553725	0
CHEMBL1085100	0
CHEMBL521582	0
CHEMBL2146087	0
CHEMBL1736151	0
CHEMBL413965	0
CHEMBL1600780	0
CHEMBL132663	0
CHEMBL34259	0
CHEMBL1972466	0
CHEMBL2219422	0
CHEMBL422037	0
CHEMBL164660	0
CHEMBL12296	0
CHEMBL1722	0
CHEMBL99377	0
CHEMBL1170610	0
CHEMBL1652621	0
CHEMBL3617655	0
CHEMBL411	0
CHEMBL1975212	0
CHEMBL46909	0
CHEMBL472566	0
CHEMBL1697856	0
CHEMBL353187	0
CHEMBL1469	0
CHEMBL1371	0
CHEMBL3782004	0
CHEMBL62	0
CHEMBL1229908	0
CHEMBL2139597	0
CHEMBL501778	0
CHEMBL3629569	0
CHEMBL324665	0
CHEMBL2335154	0
CHEMBL396778	0
CHEMBL1070	0
CHEMBL1297	0
CHEMBL67	0
CHEMBL177611	0
CHEMBL235658	0
CHEMBL2104682	0
CHEMBL588	0
CHEMBL287837	0
CHEMBL1515447	0
CHEMBL1489662	0
