       mol;    enlace;       Std;       Dip;      Dip2;       Hyd;      Pols;       Mol;       Pol;       Van;       Gas;       Ato;        r2;      pi2h;       b2h;       b2o;       l16
       1.0;       1.0;       0.0;       2.8;       2.0;  0.555433;     32.09;      9.26;  4.179667;  2.366667;  0.012557; 36.070667;     0.424;  0.651667;     0.071;     0.069;     1.162
       1.0;       2.0;       1.4;       0.4;      0.45; -0.447567;     6.015;    2.7555;  0.932667;  1.366667; -0.068856; 11.007167;     0.129;  0.166167;    0.2705;    0.2715;     0.492
       1.0;       3.0;       0.0;      2.95;       0.8;  0.231333;     12.65;    5.4645;  1.950667;  1.466667;  0.026113; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       1.0;       4.0;       0.0;       0.0;       0.0;    -0.263;    12.195;    2.3005;     0.997;       1.6; -0.200192;    14.007;    0.1275;     0.195;    0.3705;    0.3725;    0.1665
       1.0;       5.0;      1.32;       0.9;       1.4; -0.000967;      6.18;     2.883;  0.965667;  1.366667; -0.002665; 11.007167;    0.1185;  0.096167;       0.1;     0.101;    0.0905
       1.0;       6.0;       1.4;       0.4;      0.45; -0.352167;     6.015;     3.169;  0.932667;  1.366667; -0.095669; 11.007167;     0.156;  0.189167;    0.2075;     0.213;     0.664
       1.0;       7.0;       0.0;      2.95;       0.8;  0.231333;     12.65;    5.4645;  1.950667;  1.466667;  0.036263; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       1.0;       8.0;       1.4;       0.4;      0.45; -0.105433;     6.015;  2.855667;     1.114;  1.366667; -0.151659; 11.007167;     0.156;  0.189167;    0.2075;     0.213;     0.664
       1.0;       9.0;       1.4;       0.0;       0.0;  0.233017;       0.0;  3.030667;      1.58;  1.416667; -0.005854; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       1.0;      10.0;       1.4;       0.0;       0.0;  0.233017;       0.0;  3.030667;      1.58;  1.416667; -0.005854; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       1.0;      11.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.049376;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       1.0;      12.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.061159;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       1.0;      13.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.061159;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       1.0;      14.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.049376;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       2.0;       1.0;       0.0;       2.8;       2.0;  0.555433;     32.09;      9.26;  4.179667;  2.366667;  0.004719; 36.070667;     0.424;  0.651667;     0.071;     0.069;     1.162
       2.0;       2.0;       1.4;       0.4;      0.45; -0.352167;     6.015;     3.169;  0.932667;  1.366667; -0.115484; 11.007167;     0.156;  0.189167;    0.2075;     0.213;     0.664
       2.0;       3.0;       0.0;      2.95;       0.8;  0.231333;     12.65;    5.4645;  1.950667;  1.466667;  0.000455; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       2.0;       4.0;       1.4;       0.4;      0.45; -0.105433;     6.015;  2.855667;     1.114;  1.366667; -0.149386; 11.007167;     0.156;  0.189167;    0.2075;     0.213;     0.664
       2.0;       5.0;       1.4;       0.0;       0.0;  0.233017;       0.0;  3.030667;      1.58;  1.416667;  0.000521; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       2.0;       6.0;       1.4;       0.0;       0.0;  0.217067;       0.0;  2.246667;     1.264;  1.133333;  0.036894;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       2.0;       7.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.048605;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       2.0;       8.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.060404;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       2.0;       9.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.051714;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       2.0;      10.0;       1.4;       0.0;       0.0;   0.14215;       0.0;     2.566;      1.58;  1.416667; -0.003542; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       2.0;      11.0;      1.81;      2.95;       0.8;    0.3872;     12.65;    4.6865;     2.132;  1.466667; -0.034705; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       3.0;       1.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667;  -0.46334; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       3.0;       2.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.034199; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       3.0;       3.0;       1.4;       0.0;       0.0;  0.244333;       0.0;  2.175333;     1.264;  1.133333;  0.066124;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       3.0;       4.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.034502;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       3.0;       5.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667;  -0.03097; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
       3.0;       6.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667; -0.032826; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
       3.0;       7.0;       1.4;       0.0;       0.0;     0.197;       0.0;  2.897333;     1.264;  1.133333; -0.005705;  8.007333;       0.2;  0.080667;  0.012667;     0.012;     0.496
       3.0;       8.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.057983;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       3.0;       9.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.061607;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       3.0;      10.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.057336;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       3.0;      11.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667; -0.026589; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
       3.0;      12.0;       1.4;       0.0;       0.0;    0.1616;       0.0;  2.339667;     1.264;  1.133333;  0.022689;  8.007333;      0.16;     0.074;  0.006333;     0.006;     0.456
       3.0;      13.0;      1.81;      2.95;       0.8;    0.3872;     12.65;    4.6865;     2.132;  1.466667; -0.001179; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       3.0;      14.0;       0.0;       0.0;       0.0;    0.6482;      25.3;     7.591;       3.0;       1.8;  -0.04783;    32.067;      0.33;     0.189;     0.168;     0.175;     1.258
       3.0;      15.0;      1.81;      2.95;       0.8;    0.3872;     12.65;    4.6865;     2.132;  1.466667; -0.001179; 20.037167;     0.225;  0.128167;     0.084;    0.0875;     0.837
       3.0;      16.0;       1.4;       0.0;       0.0;  0.244333;       0.0;  2.175333;     1.264;  1.133333;  0.066124;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       3.0;      17.0;       1.4;       0.0;       0.0;    0.1616;       0.0;  2.339667;     1.264;  1.133333;  0.022689;  8.007333;      0.16;     0.074;  0.006333;     0.006;     0.456
       3.0;      18.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667;  -0.46334; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       3.0;      19.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.034199; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       3.0;      20.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.034502;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       3.0;      21.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667;  -0.03097; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
       3.0;      22.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667; -0.032826; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
       3.0;      23.0;       1.4;       0.0;       0.0;     0.197;       0.0;  2.897333;     1.264;  1.133333; -0.005705;  8.007333;       0.2;  0.080667;  0.012667;     0.012;     0.496
       3.0;      24.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.057983;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
